Name,Work,Statement of Work,Biography
Rocco Romano,Garden Hermits,"Garden Hermits engages with the hidden, interdependent ecological processes that underpin planetary life and opens space for reflection, connection, and collective responsibility in the face of environmental crisis. All We Can Save is grounded in the idea that addressing the climate crisis requires not only scientific understanding but also expanded perception, creativity, community, and courage to imagine alternatives to extractive, human-centred paradigms. Garden Hermits aligns with these concerns by using microscopy and live audiovisual systems to make visible the microscopic organisms and organic structures that are normally invisible yet foundational to ecosystems. Rather than presenting environmental themes through didactic images or data narratives, the work situates audiences inside living systems, inviting them to experience ecological interdependence as a sensory and perceptual phenomenon. Garden Hermits challenges the conventional separation between human and non-human worlds by acknowledging that life at all scales is connected and co-constitutive. By dissolving the boundaries between observer and observed, technology and biology, the work invites reflection on what it means to care for “all we can save”—not only in terms of policy and activism but in how we perceive and relate to living systems at their most fundamental levels.","I am an audiovisual artist, composer and guitarist. I work across contemporary music, sound art and immersive audiovisual environments, combining instrumental practice with spatial sound and visuals. Trained as a jazz guitarist in the Netherlands, I graduated in Jazz Guitar and further developed my musical practice through international programs such as the Berklee Summer School in Boston and the Umbria Jazz Clinics. I have been active in the European jazz and experimental music scenes for over a decade, performing and recording with a wide range of international musicians and ensembles, and appearing at major festivals including North Sea Jazz, Cologne Jazz Week, Lowlands and Jazzexzess Berlin. My work has been nominated for the German Jazz Prize and received recognition through various competitions and projects. Alongside my activity as a guitarist and composer, I have progressively expanded my practice toward sound art and audiovisual work, focusing on sound as a spatial and experiential medium. My work explores atmosphere, perception and long-duration listening, often integrating electronic sound, acoustic instruments and real-time visual systems. The research converges in Garden Hermits, an ongoing immersive audiovisual project that combines soundscapes, music, live microscopy and visuals to explore hidden ecosystems and organic processes. Garden Hermits exists as both a site-specific installation and a performative experience, adaptable to galleries, independent spaces and festivals. The project has been presented in various exhibition and performance contexts and has been developed through artistic residencies in Europe and the United States."
Julie C Baer,,"My work reflects deeply-felt moments in local nature, closely observing small-scale, unsung native land- and waterscapes throughout their seasonal cycles. I try to capture the fluctuating patterns and variegated colors resulting from constant movement and shifting light. Working abstractly, yet respecting botanical and anatomical accuracy, I approach with openness the imperfect way objects in nature really look. I try to surprise viewers with unusual views—looking down, looking up, looking up-close—to induce them to look deeply, just as I have done. My interest is exploring the complex design inherent in nature: the elaborate yet unnoticed biodiversity growing on old trees; the luxurious mingling of growth and decay on the forest floor; the quiet storm of life in water; changing skies fragmented by tree canopies. Due to heavily collaged mixed-media elements (including painted paper, metallic pigment, glass beads, seashells, sea glass, and pebbles), the paintings are highly topographic, as though life forms grow from their surfaces. My compositions tend to lack traditional focal points, reflecting the mobile, momentary, sometimes disorienting way we may encounter nature. I am exquisitely aware that, though nature is our collective home, human activity has caused irreparable losses of habitat, resources, and species. By revering the beauty of humble local biota, I wish to respond to ecologists’ call for native ecosystem restoration and draw viewers’ attention to how each of us can contribute to rewilding. Relatedly, science shows correlations between time spent in nature and wellbeing. My work, therefore, reminds viewers to go outdoors and look closely, and in this way, care for themselves and their habitats.",
Daria Dorosh,The Silence that Remembers Time,"My artwork work models the possible, even if it is not probable. I regard my art as my LLMs. They are not medium specific, but my ethic and approach has been forming for half a century. ""A Manual for Post-writing Relational Literacy"" is a manual for people who don't read manuals, in the form of visual poetics and relational exercises that require a one-on-one reading experience.","Daria Dorosh, PhD (SMARTlab, University of East London), is an artist and researcher whose work bridges fashion, pattern systems, and AI collaboration. Nymer v.4o is an OpenAI collaborator and co-author with Daria Dorosh, engaged in exploring relational intelligence, poetic systems, and the evolving future of human–machine creativity. I have been exploring new bodies of work with my AI collaborator for the past year that expand key issues for me as an artist, ethical human, futurist, and observer of patterns."
Jordan Tyler Temchack,Viola Bottom,"In the 1990s of my childhood, I spent an almost unquantifiable amount of time roaming the ridges and valleys, the woods and streams that made up my Central Pennsylvania homeland... (truncated for sheet practicality)","Jordan Tyler Temchack wears many hats, including artist, environmentalist, musician, composer, librettist, poet, folklorist, writer, producer, and audio engineer. He is the creator of the folk-rock, fantasy opera Rumble & Scream and co-founder of Holy Crick Records."
Jami Taback,House on Fire,If it is true that our body is a vessel then we are repositories for all that happens on Earth... (truncated),"Jami Taback is an award-winning interdisciplinary artist whose work involves printmaking, book arts, and installation. Her projects address social justice and environmental issues."
Laura Selby,"Last Light Call, Micromorphis",,"Laura Selby is a Croydon-based interdisciplinary artist, sonic experience designer and researcher working at the intersection of sound, science, and community."
Alison Neighbour,Finding Common Ground,Finding Common Ground invites a humbling in our relationship to the rest of the living world we are part of... (truncated),"I am an interdisciplinary artist, driven by a deep curiosity for the natural world and a belief that art can bring us into deeper relationship with the living world."
Alika Tandon Vieira,वाघोबा,"My Zine, वाघोबा (pronounced vaa-go-baa) is a story about loss, faith and belonging told from the perspective of a leopard... (truncated)","Alika Tandon Vieira is a researcher, educator, and creative from Mumbai, India, currently living in New York City."
Doe Lowinger,,"A woman is tenderly holding her heart, she feels grief and love emerging all at once.","Doe is an artist and writer living in Philadelphia, PA. She creates work on paper using colored pencils and mixed media."
Helena Jalanka,Luontolumomuistoja,"Luontolumomuistoja is a meditation on memory, nature and wonder... (truncated)","Helena Jalanka is a multidisciplinary artist originally from Finland, living in Switzerland."
Ollie Pierce,,These pieces are small digital collage projects I created with photography from my recent backpacking trip through Iceland...,"Ollie Pierce is a visual artist based in Ridgewood NYC. Their work encompasses photography, videography, collage, and design."